island/mainland,Group,Clade,Nmorpho,SVL,Tail,Head_length,Head_width,Head_depth,Lower_jaw_length,Outlever,Snout,Open,Close,Interlimb,Body_height,Body_width,Femur,Tibia,Tarsus,Ltoe,Hind_limb_length,Humerus,Radius,Carpus,Longest_toe,Forelimb_length,label,_key,length
I,I2,Anolis,1,37.07,34.91,11.82,4.19,3.79,11.1,10.48,8.93,0.62,1.55,18.09,2.86,3.07,5.79,5.03,1.27,3.39,15.48,4.1,3.79,1.38,3.19,12.46,occultus,98,40.18759117
I,I2,Norops,3,82.27,182,27.14,14.58,12.19,27.81,25.24,20.53,2.57,4.72,33.77,14.96,14.18,22.06,21.25,13.81,14.27,71.39,18.11,13.91,4.74,7.94,44.71,reconditus,99,18.65496868
M,M2a,Norops,2,46.01,104.82,12.42,7.21,5.93,12.09,10.82,9.09,1.27,1.73,21.56,6.4,6.89,9.78,10.12,6.64,7.04,33.57,8.47,6.55,3.14,3.76,21.91,meridionalis,100,22.71088302
M,M2b,Norops,3,48.29,94.02,12.75,6.73,5.37,12.51,11.37,9.58,1.14,1.79,23.17,4.72,6.15,13.01,14.12,8.31,7.74,43.18,9.34,7.31,2.63,3.97,23.24,trachyderma,101,10.76526844
M,M1,Dactyloa,3,53.03,117.25,14.39,7.3,5.62,14.6,13.49,11.03,1.11,2.46,25.06,5.3,6.37,12.03,12.39,8.01,8.67,41.1,10.12,7.48,2.45,4.03,24.09,anchicayae,102,8.28468825
M,M1,Dactyloa,14,38.56,46.77,11.83,5.72,5.39,11.14,10.39,8.67,0.75,1.71,19.82,5.58,5.48,6.12,5.71,3.38,5.17,20.38,5.57,4.49,1.9,3.83,15.79,orcesi,103,17.731252461
M,M2a,Norops,5,82.96,156.6,23.32,13.1,10.55,23.98,22.08,18.5,1.9,3.58,41.14,13.91,15.05,18.01,17.26,10.76,13.18,59.22,14.39,12,4.25,7.24,37.88,biporcatus,104,25.836551457
M,M2a,Norops,10,59.96,89.32,15.52,8.4,6.92,15.67,14.53,12.01,1.13,2.53,28.96,9.43,9.6,14.7,15.77,9.1,11.2,50.78,10.86,10.22,3.2,6.67,30.94,aquaticus,105,13.74211707
I,I2,Norops,2,105,173.67,30,16.01,12.78,29.47,28.26,23.64,1.22,4.62,47.12,13.66,15.34,24.57,23.14,8.22,17.96,73.87,17.39,16.09,3.43,11.48,48.38,garmani,106,12.27807364
M,M2b,Norops,8,52.91,91.44,14.97,8.69,6.67,14.89,13.75,11.54,1.13,2.22,25.21,7.79,8.99,13.54,14.17,8.76,9.68,46.15,9.92,8.13,3.21,5.26,26.52,lemurinus,107,13.050390519
M,M2b,Norops,3,41.25,76.63,11.88,6.05,4.96,11.69,10.79,9.15,0.89,1.65,19.58,5.36,5.52,10.71,11.98,6.76,6.7,36.14,7.76,6.37,2.23,3.2,19.55,cryptolimifrons,108,8.4960791969
I,I1,Dactyloa,3,113.53,167.87,31.16,18.34,15.76,31.91,28.51,23.22,3.4,5.29,51.42,18.28,17.42,27.78,29.3,17.59,17.29,91.96,23.9,17.52,6.98,8.72,57.12,richardi,109,11.67545433
